State,Date,Death,Dates
Alabama,1/22/20,0,2020-01-22
Alaska,1/22/20,0,2020-01-22
American Samoa,1/22/20,0,2020-01-22
Arizona,1/22/20,0,2020-01-22
Arkansas,1/22/20,0,2020-01-22
California,1/22/20,0,2020-01-22
Colorado,1/22/20,0,2020-01-22
Connecticut,1/22/20,0,2020-01-22
Delaware,1/22/20,0,2020-01-22
Diamond Princess,1/22/20,0,2020-01-22
District of Columbia,1/22/20,0,2020-01-22
Florida,1/22/20,0,2020-01-22
Georgia,1/22/20,0,2020-01-22
Grand Princess,1/22/20,0,2020-01-22
Guam,1/22/20,0,2020-01-22
Hawaii,1/22/20,0,2020-01-22
Idaho,1/22/20,0,2020-01-22
Illinois,1/22/20,0,2020-01-22
Indiana,1/22/20,0,2020-01-22
Iowa,1/22/20,0,2020-01-22
Kansas,1/22/20,0,2020-01-22
Kentucky,1/22/20,0,2020-01-22
Louisiana,1/22/20,0,2020-01-22
Maine,1/22/20,0,2020-01-22
Maryland,1/22/20,0,2020-01-22
Massachusetts,1/22/20,0,2020-01-22
Michigan,1/22/20,0,2020-01-22
Minnesota,1/22/20,0,2020-01-22
Mississippi,1/22/20,0,2020-01-22
Missouri,1/22/20,0,2020-01-22
Montana,1/22/20,0,2020-01-22
Nebraska,1/22/20,0,2020-01-22
Nevada,1/22/20,0,2020-01-22
New Hampshire,1/22/20,0,2020-01-22
New Jersey,1/22/20,0,2020-01-22
New Mexico,1/22/20,0,2020-01-22
New York,1/22/20,0,2020-01-22
North Carolina,1/22/20,0,2020-01-22
North Dakota,1/22/20,0,2020-01-22
Northern Mariana Islands,1/22/20,0,2020-01-22
Ohio,1/22/20,1,2020-01-22
Oklahoma,1/22/20,0,2020-01-22
Oregon,1/22/20,0,2020-01-22
Pennsylvania,1/22/20,0,2020-01-22
Puerto Rico,1/22/20,0,2020-01-22
Rhode Island,1/22/20,0,2020-01-22
South Carolina,1/22/20,0,2020-01-22
South Dakota,1/22/20,0,2020-01-22
Tennessee,1/22/20,0,2020-01-22
Texas,1/22/20,0,2020-01-22
Utah,1/22/20,0,2020-01-22
Vermont,1/22/20,0,2020-01-22
Virgin Islands,1/22/20,0,2020-01-22
Virginia,1/22/20,0,2020-01-22
Washington,1/22/20,0,2020-01-22
