USTotalNewCasesByDate,Dates
1,2020-01-22
0,2020-01-23
1,2020-01-24
0,2020-01-25
3,2020-01-26
0,2020-01-27
0,2020-01-28
1,2020-01-29
0,2020-01-30
2,2020-01-31
0,2020-02-01
0,2020-02-02
3,2020-02-03
0,2020-02-04
0,2020-02-05
1,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
1,2020-02-11
0,2020-02-12
1,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
1,2020-02-17
1,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
1,2020-02-24
1,2020-02-25
1,2020-02-26
0,2020-02-27
0,2020-02-28
7,2020-02-29
13,2020-03-01
18,2020-03-02
22,2020-03-03
34,2020-03-04
71,2020-03-05
63,2020-03-06
170,2020-03-07
121,2020-03-08
92,2020-03-09
167,2020-03-10
361,2020-03-11
452,2020-03-12
626,2020-03-13
730,2020-03-14
388,2020-03-15
1433,2020-03-16
1783,2020-03-17
2706,2020-03-18
4507,2020-03-19
6401,2020-03-20
5992,2020-03-21
8888,2020-03-22
11156,2020-03-23
10618,2020-03-24
12127,2020-03-25
17821,2020-03-26
18591,2020-03-27
22164,2020-03-28
20165,2020-03-29
22154,2020-03-30
26381,2020-03-31
31747,2020-04-01
32276,2020-04-02
32401,2020-04-03
31845,2020-04-04
29240,2020-04-05
31782,2020-04-06
30036,2020-04-07
31063,2020-04-08
35610,2020-04-09
34283,2020-04-10
28964,2020-04-11
26308,2020-04-12
27143,2020-04-13
28454,2020-04-14
25897,2020-04-15
29638,2020-04-16
33107,2020-04-17
27329,2020-04-18
25422,2020-04-19
30084,2020-04-20
26089,2020-04-21
29973,2020-04-22
32009,2020-04-23
31965,2020-04-24
31720,2020-04-25
25971,2020-04-26
24718,2020-04-27
24573,2020-04-28
26852,2020-04-29
29702,2020-04-30
34892,2020-05-01
26770,2020-05-02
23733,2020-05-03
23802,2020-05-04
24021,2020-05-05
24490,2020-05-06
27739,2020-05-07
27183,2020-05-08
24454,2020-05-09
18849,2020-05-10
19079,2020-05-11
23382,2020-05-12
20015,2020-05-13
25892,2020-05-14
24851,2020-05-15
24050,2020-05-16
18815,2020-05-17
22308,2020-05-18
20503,2020-05-19
22828,2020-05-20
25152,2020-05-21
23839,2020-05-22
20189,2020-05-23
20174,2020-05-24
19094,2020-05-25
18726,2020-05-26
18793,2020-05-27
21267,2020-05-28
25082,2020-05-29
23080,2020-05-30
18923,2020-05-31
17840,2020-06-01
20090,2020-06-02
19156,2020-06-03
27934,2020-06-04
26440,2020-06-05
20271,2020-06-06
17826,2020-06-07
16900,2020-06-08
20321,2020-06-09
21718,2020-06-10
22278,2020-06-11
25558,2020-06-12
24157,2020-06-13
18901,2020-06-14
20999,2020-06-15
24549,2020-06-16
27052,2020-06-17
28227,2020-06-18
31292,2020-06-19
31826,2020-06-20
25836,2020-06-21
29801,2020-06-22
38733,2020-06-23
36251,2020-06-24
39299,2020-06-25
49046,2020-06-26
40754,2020-06-27
42925,2020-06-28
41295,2020-06-29
49824,2020-06-30
49123,2020-07-01
54943,2020-07-02
51504,2020-07-03
45945,2020-07-04
53728,2020-07-05
43165,2020-07-06
57231,2020-07-07
60306,2020-07-08
59656,2020-07-09
68859,2020-07-10
60439,2020-07-11
60132,2020-07-12
59364,2020-07-13
65662,2020-07-14
66026,2020-07-15
70814,2020-07-16
66472,2020-07-17
64322,2020-07-18
58948,2020-07-19
60663,2020-07-20
68194,2020-07-21
