USTotalNewDeathsByDate,Dates
1,2020-01-22
0,2020-01-23
0,2020-01-24
0,2020-01-25
0,2020-01-26
0,2020-01-27
0,2020-01-28
0,2020-01-29
0,2020-01-30
0,2020-01-31
0,2020-02-01
0,2020-02-02
0,2020-02-03
0,2020-02-04
0,2020-02-05
0,2020-02-06
0,2020-02-07
0,2020-02-08
0,2020-02-09
0,2020-02-10
0,2020-02-11
0,2020-02-12
0,2020-02-13
0,2020-02-14
0,2020-02-15
0,2020-02-16
0,2020-02-17
0,2020-02-18
0,2020-02-19
0,2020-02-20
0,2020-02-21
0,2020-02-22
0,2020-02-23
0,2020-02-24
0,2020-02-25
0,2020-02-26
0,2020-02-27
0,2020-02-28
1,2020-02-29
0,2020-03-01
5,2020-03-02
1,2020-03-03
4,2020-03-04
1,2020-03-05
2,2020-03-06
3,2020-03-07
4,2020-03-08
2,2020-03-09
5,2020-03-10
5,2020-03-11
11,2020-03-12
9,2020-03-13
9,2020-03-14
11,2020-03-15
25,2020-03-16
36,2020-03-17
65,2020-03-18
75,2020-03-19
105,2020-03-20
106,2020-03-21
121,2020-03-22
187,2020-03-23
243,2020-03-24
335,2020-03-25
419,2020-03-26
522,2020-03-27
715,2020-03-28
665,2020-03-29
717,2020-03-30
1079,2020-03-31
1298,2020-04-01
1531,2020-04-02
1422,2020-04-03
1603,2020-04-04
1616,2020-04-05
1742,2020-04-06
2580,2020-04-07
2150,2020-04-08
2222,2020-04-09
2187,2020-04-10
2136,2020-04-11
1895,2020-04-12
1999,2020-04-13
2487,2020-04-14
2606,2020-04-15
2183,2020-04-16
2095,2020-04-17
1952,2020-04-18
1980,2020-04-19
2245,2020-04-20
2482,2020-04-21
2469,2020-04-22
2414,2020-04-23
2173,2020-04-24
1734,2020-04-25
1406,2020-04-26
1480,2020-04-27
2244,2020-04-28
2392,2020-04-29
2191,2020-04-30
2028,2020-05-01
1745,2020-05-02
1203,2020-05-03
1360,2020-05-04
2221,2020-05-05
2322,2020-05-06
1919,2020-05-07
1779,2020-05-08
1466,2020-05-09
1006,2020-05-10
1035,2020-05-11
1591,2020-05-12
1735,2020-05-13
1773,2020-05-14
1665,2020-05-15
1197,2020-05-16
830,2020-05-17
1220,2020-05-18
1445,2020-05-19
1503,2020-05-20
1188,2020-05-21
1204,2020-05-22
1074,2020-05-23
655,2020-05-24
597,2020-05-25
657,2020-05-26
1487,2020-05-27
1089,2020-05-28
1117,2020-05-29
952,2020-05-30
621,2020-05-31
774,2020-06-01
981,2020-06-02
1011,2020-06-03
1007,2020-06-04
880,2020-06-05
638,2020-06-06
456,2020-06-07
512,2020-06-08
918,2020-06-09
872,2020-06-10
817,2020-06-11
822,2020-06-12
722,2020-06-13
347,2020-06-14
401,2020-06-15
785,2020-06-16
749,2020-06-17
701,2020-06-18
634,2020-06-19
565,2020-06-20
317,2020-06-21
379,2020-06-22
740,2020-06-23
756,2020-06-24
693,2020-06-25
630,2020-06-26
497,2020-06-27
326,2020-06-28
371,2020-06-29
714,2020-06-30
701,2020-07-01
739,2020-07-02
677,2020-07-03
302,2020-07-04
322,2020-07-05
392,2020-07-06
1145,2020-07-07
842,2020-07-08
1036,2020-07-09
818,2020-07-10
753,2020-07-11
474,2020-07-12
435,2020-07-13
902,2020-07-14
964,2020-07-15
967,2020-07-16
920,2020-07-17
887,2020-07-18
479,2020-07-19
534,2020-07-20
1094,2020-07-21
1286,2020-07-22
1090,2020-07-23
1092,2020-07-24
973,2020-07-25
537,2020-07-26
1112,2020-07-27
